DistrictName,SchoolName,Category,Subcategory,Count,Percent,TotalCount
Everett School District,Henry M. Jackson High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,50.0%,4
Everett School District,Henry M. Jackson High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,25.0%,4
Everett School District,Henry M. Jackson High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,25.0%,4
Everett School District,Henry M. Jackson High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,2,50.0%,4
Everett School District,Henry M. Jackson High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,25.0%,4
Everett School District,Henry M. Jackson High School,Degree,Bachelor's Degree,2,50.0%,4
Everett School District,Henry M. Jackson High School,Degree,Master's Degree,2,50.0%,4
Everett School District,Henry M. Jackson High School,Gender,Female,2,50.0%,4
Everett School District,Henry M. Jackson High School,Gender,Male,2,50.0%,4
Everett School District,Henry M. Jackson High School,RaceEthnicity,White,4,100.0%,4
Evergreen School District (Clark),Cascadia Technical Academy Skills Center,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Evergreen School District (Clark),Cascadia Technical Academy Skills Center,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Evergreen School District (Clark),Cascadia Technical Academy Skills Center,Degree,Other/Non Degreed,1,100.0%,1
Evergreen School District (Clark),Cascadia Technical Academy Skills Center,Gender,Male,1,100.0%,1
Evergreen School District (Clark),Cascadia Technical Academy Skills Center,RaceEthnicity,White,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,Degree,Master's Degree,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,Gender,Male,1,100.0%,1
Evergreen School District (Clark),Evergreen High School,RaceEthnicity,White,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,Certificate,C270700 - EMERGENCY SUBSTITUTE TEACHER                                ,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,Degree,Other/Non Degreed,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,Gender,Female,1,100.0%,1
Evergreen School District (Clark),Frontier Middle School,RaceEthnicity,White,1,100.0%,1
Evergreen School District (Clark),Heritage High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Degree,Master's Degree,2,100.0%,2
Evergreen School District (Clark),Heritage High School,Gender,Female,1,50.0%,2
Evergreen School District (Clark),Heritage High School,Gender,Male,1,50.0%,2
Evergreen School District (Clark),Heritage High School,RaceEthnicity,White,2,100.0%,2
Evergreen School District (Clark),Mountain View High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Degree,Master's Degree,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,Gender,Male,1,100.0%,1
Evergreen School District (Clark),Mountain View High School,RaceEthnicity,Asian,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,Degree,Master's Degree,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,Gender,Female,1,100.0%,1
Evergreen School District (Clark),Open Doors Evergreen,RaceEthnicity,White,1,100.0%,1
Evergreen School District (Clark),Union High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,50.0%,2
Evergreen School District (Clark),Union High School,Certificate,ACTE300 - INITIAL CAREER AND TECHNICAL EDUCATION DIRECTOR,1,50.0%,2
Evergreen School District (Clark),Union High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,50.0%,2
Evergreen School District (Clark),Union High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Evergreen School District (Clark),Union High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
Evergreen School District (Clark),Union High School,Degree,Master's Degree,2,100.0%,2
Evergreen School District (Clark),Union High School,Gender,Male,2,100.0%,2
Evergreen School District (Clark),Union High School,RaceEthnicity,Black/ African American,1,50.0%,2
Evergreen School District (Clark),Union High School,RaceEthnicity,White,1,50.0%,2
Federal Way School District,Decatur High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Federal Way School District,Decatur High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Federal Way School District,Decatur High School,Degree,Master's Degree,1,100.0%,1
Federal Way School District,Decatur High School,Gender,Male,1,100.0%,1
Federal Way School District,Decatur High School,RaceEthnicity,White,1,100.0%,1
Federal Way School District,Federal Way High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Federal Way School District,Federal Way High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Federal Way School District,Federal Way High School,Degree,Bachelor's Degree,1,100.0%,1
Federal Way School District,Federal Way High School,Gender,Male,1,100.0%,1
Federal Way School District,Federal Way High School,RaceEthnicity,White,1,100.0%,1
Federal Way School District,Federal Way Public Academy,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Federal Way School District,Federal Way Public Academy,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Federal Way School District,Federal Way Public Academy,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Federal Way School District,Federal Way Public Academy,Degree,Master's Degree,1,100.0%,1
Federal Way School District,Federal Way Public Academy,Gender,Male,1,100.0%,1
Federal Way School District,Federal Way Public Academy,RaceEthnicity,Two or more races,1,100.0%,1
Federal Way School District,Thomas Jefferson High School,Certificate,1043700 - CONTINUING ELEMENTARY AND SECONDARY TEACHER                 ,1,50.0%,2
Federal Way School District,Thomas Jefferson High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Federal Way School District,Thomas Jefferson High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
Federal Way School District,Thomas Jefferson High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,100.0%,2
Federal Way School District,Thomas Jefferson High School,Degree,Bachelor's Degree,1,50.0%,2
Federal Way School District,Thomas Jefferson High School,Degree,Other/Non Degreed,1,50.0%,2
Federal Way School District,Thomas Jefferson High School,Gender,Male,2,100.0%,2
Federal Way School District,Thomas Jefferson High School,RaceEthnicity,White,2,100.0%,2
Federal Way School District,Todd Beamer High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Federal Way School District,Todd Beamer High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Federal Way School District,Todd Beamer High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Federal Way School District,Todd Beamer High School,Degree,Master's Degree,1,100.0%,1
Federal Way School District,Todd Beamer High School,Gender,Male,1,100.0%,1
Federal Way School District,Todd Beamer High School,RaceEthnicity,Hispanic/ Latino of any race(s),1,100.0%,1
Ferndale School District,Ferndale High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,50.0%,2
Ferndale School District,Ferndale High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Ferndale School District,Ferndale High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Ferndale School District,Ferndale High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,50.0%,2
Ferndale School District,Ferndale High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
Ferndale School District,Ferndale High School,Degree,Master's Degree,2,100.0%,2
Ferndale School District,Ferndale High School,Gender,Male,2,100.0%,2
Ferndale School District,Ferndale High School,RaceEthnicity,White,2,100.0%,2
Fife School District,Columbia Junior High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,50.0%,2
Fife School District,Columbia Junior High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,100.0%,2
Fife School District,Columbia Junior High School,Degree,Other/Non Degreed,2,100.0%,2
Fife School District,Columbia Junior High School,Gender,Female,1,50.0%,2
Fife School District,Columbia Junior High School,Gender,Male,1,50.0%,2
Fife School District,Columbia Junior High School,RaceEthnicity,Black/ African American,1,50.0%,2
Fife School District,Columbia Junior High School,RaceEthnicity,White,1,50.0%,2
Fife School District,Fife High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Fife School District,Fife High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Fife School District,Fife High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Fife School District,Fife High School,Degree,Master's Degree,1,100.0%,1
Fife School District,Fife High School,Gender,Female,1,100.0%,1
Fife School District,Fife High School,RaceEthnicity,White,1,100.0%,1
Franklin Pierce School District,Franklin Pierce High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Franklin Pierce School District,Franklin Pierce High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Franklin Pierce School District,Franklin Pierce High School,Degree,Other/Non Degreed,1,100.0%,1
Franklin Pierce School District,Franklin Pierce High School,Gender,Male,1,100.0%,1
Franklin Pierce School District,Franklin Pierce High School,RaceEthnicity,White,1,100.0%,1
Franklin Pierce School District,Washington High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Franklin Pierce School District,Washington High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Franklin Pierce School District,Washington High School,Degree,Master's Degree,1,100.0%,1
Franklin Pierce School District,Washington High School,Gender,Male,1,100.0%,1
Franklin Pierce School District,Washington High School,RaceEthnicity,Asian,1,100.0%,1
Freeman School District,Freeman High School,Certificate,1043700 - CONTINUING ELEMENTARY AND SECONDARY TEACHER                 ,1,50.0%,2
Freeman School District,Freeman High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Freeman School District,Freeman High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,50.0%,2
Freeman School District,Freeman High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Freeman School District,Freeman High School,Degree,Bachelor's Degree,1,50.0%,2
Freeman School District,Freeman High School,Degree,Master's Degree,1,50.0%,2
Freeman School District,Freeman High School,Gender,Female,1,50.0%,2
Freeman School District,Freeman High School,Gender,Male,1,50.0%,2
Freeman School District,Freeman High School,RaceEthnicity,White,2,100.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Degree,Bachelor's Degree,1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Degree,Other/Non Degreed,1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Gender,Female,1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,Gender,Male,1,50.0%,2
Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,RaceEthnicity,White,2,100.0%,2
Grandview School District,Grandview High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Grandview School District,Grandview High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Grandview School District,Grandview High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Grandview School District,Grandview High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,50.0%,2
Grandview School District,Grandview High School,Degree,Bachelor's Degree,1,50.0%,2
Grandview School District,Grandview High School,Degree,Other/Non Degreed,1,50.0%,2
Grandview School District,Grandview High School,Gender,Female,1,50.0%,2
Grandview School District,Grandview High School,Gender,Male,1,50.0%,2
Grandview School District,Grandview High School,RaceEthnicity,White,2,100.0%,2
Granger School District,Granger High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,50.0%,2
Granger School District,Granger High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Granger School District,Granger High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Granger School District,Granger High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Granger School District,Granger High School,Degree,Master's Degree,2,100.0%,2
Granger School District,Granger High School,Gender,Male,2,100.0%,2
Granger School District,Granger High School,RaceEthnicity,Hispanic/ Latino of any race(s),1,50.0%,2
Granger School District,Granger High School,RaceEthnicity,White,1,50.0%,2
Granite Falls School District,Granite Falls High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Granite Falls School District,Granite Falls High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Granite Falls School District,Granite Falls High School,Degree,Bachelor's Degree,1,100.0%,1
Granite Falls School District,Granite Falls High School,Gender,Male,1,100.0%,1
Granite Falls School District,Granite Falls High School,RaceEthnicity,Native Hawaiian/ Other Pacific Islander,1,100.0%,1
Granite Falls School District,Granite Falls Middle School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Granite Falls School District,Granite Falls Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Granite Falls School District,Granite Falls Middle School,Degree,Master's Degree,1,100.0%,1
Granite Falls School District,Granite Falls Middle School,Gender,Male,1,100.0%,1
Granite Falls School District,Granite Falls Middle School,RaceEthnicity,White,1,100.0%,1
Harrington School District,Harrington High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Harrington School District,Harrington High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Harrington School District,Harrington High School,Degree,Master's Degree,1,100.0%,1
Harrington School District,Harrington High School,Gender,Female,1,100.0%,1
Harrington School District,Harrington High School,RaceEthnicity,White,1,100.0%,1
Highland School District,Highland High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Highland School District,Highland High School,Degree,Master's Degree,1,100.0%,1
Highland School District,Highland High School,Gender,Male,1,100.0%,1
Highland School District,Highland High School,RaceEthnicity,White,1,100.0%,1
Highline School District,Evergreen High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Highline School District,Evergreen High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,100.0%,1
Highline School District,Evergreen High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Highline School District,Evergreen High School,Degree,Bachelor's Degree,1,100.0%,1
Highline School District,Evergreen High School,Gender,Male,1,100.0%,1
Highline School District,Evergreen High School,RaceEthnicity,White,1,100.0%,1
Highline School District,Highline High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,100.0%,1
Highline School District,Highline High School,Degree,Other/Non Degreed,1,100.0%,1
Highline School District,Highline High School,Gender,Male,1,100.0%,1
Highline School District,Highline High School,RaceEthnicity,White,1,100.0%,1
Highline School District,Mount Rainier High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Highline School District,Mount Rainier High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Highline School District,Mount Rainier High School,Degree,Master's Degree,1,100.0%,1
Highline School District,Mount Rainier High School,Gender,Female,1,100.0%,1
Highline School District,Mount Rainier High School,RaceEthnicity,White,1,100.0%,1
Highline School District,Puget Sound Skills Center,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,33.3%,3
Highline School District,Puget Sound Skills Center,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Highline School District,Puget Sound Skills Center,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,33.3%,3
Highline School District,Puget Sound Skills Center,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,33.3%,3
Highline School District,Puget Sound Skills Center,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
Highline School District,Puget Sound Skills Center,Degree,Master's Degree,1,33.3%,3
Highline School District,Puget Sound Skills Center,Degree,Other/Non Degreed,2,66.7%,3
Highline School District,Puget Sound Skills Center,Gender,Male,3,100.0%,3
Highline School District,Puget Sound Skills Center,RaceEthnicity,White,3,100.0%,3
Highline School District,Raisbeck Aviation High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Highline School District,Raisbeck Aviation High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Highline School District,Raisbeck Aviation High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Highline School District,Raisbeck Aviation High School,Degree,Master's Degree,1,100.0%,1
Highline School District,Raisbeck Aviation High School,Gender,Male,1,100.0%,1
Highline School District,Raisbeck Aviation High School,RaceEthnicity,Black/ African American,1,100.0%,1
Highline School District,Tyee High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
Highline School District,Tyee High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Highline School District,Tyee High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,50.0%,2
Highline School District,Tyee High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Highline School District,Tyee High School,Degree,Bachelor's Degree,1,50.0%,2
Highline School District,Tyee High School,Degree,Master's Degree,1,50.0%,2
Highline School District,Tyee High School,Gender,Female,1,50.0%,2
Highline School District,Tyee High School,Gender,Male,1,50.0%,2
Highline School District,Tyee High School,RaceEthnicity,White,2,100.0%,2
Hockinson School District,Hockinson Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Hockinson School District,Hockinson Middle School,Degree,Master's Degree,1,100.0%,1
Hockinson School District,Hockinson Middle School,Gender,Female,1,100.0%,1
Hockinson School District,Hockinson Middle School,RaceEthnicity,White,1,100.0%,1
Hoquiam School District,Hoquiam High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Hoquiam School District,Hoquiam High School,Degree,Other/Non Degreed,1,100.0%,1
Hoquiam School District,Hoquiam High School,Gender,Female,1,100.0%,1
Hoquiam School District,Hoquiam High School,RaceEthnicity,White,1,100.0%,1
Hoquiam School District,Lincoln Elementary,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Hoquiam School District,Lincoln Elementary,Degree,Master's Degree,1,100.0%,1
Hoquiam School District,Lincoln Elementary,Gender,Female,1,100.0%,1
Hoquiam School District,Lincoln Elementary,RaceEthnicity,White,1,100.0%,1
Issaquah School District,Issaquah High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Issaquah School District,Issaquah High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,66.7%,3
Issaquah School District,Issaquah High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,33.3%,3
Issaquah School District,Issaquah High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
Issaquah School District,Issaquah High School,Degree,Master's Degree,2,66.7%,3
Issaquah School District,Issaquah High School,Degree,Other/Non Degreed,1,33.3%,3
Issaquah School District,Issaquah High School,Gender,Female,1,33.3%,3
Issaquah School District,Issaquah High School,Gender,Male,2,66.7%,3
Issaquah School District,Issaquah High School,RaceEthnicity,White,3,100.0%,3
Issaquah School District,Liberty Sr High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,100.0%,2
Issaquah School District,Liberty Sr High School,Degree,Master's Degree,1,50.0%,2
Issaquah School District,Liberty Sr High School,Degree,Other/Non Degreed,1,50.0%,2
Issaquah School District,Liberty Sr High School,Gender,Male,2,100.0%,2
Issaquah School District,Liberty Sr High School,RaceEthnicity,White,2,100.0%,2
Issaquah School District,Skyline High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,33.3%,3
Issaquah School District,Skyline High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,33.3%,3
Issaquah School District,Skyline High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,33.3%,3
Issaquah School District,Skyline High School,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,33.3%,3
Issaquah School District,Skyline High School,Degree,Master's Degree,2,66.7%,3
Issaquah School District,Skyline High School,Degree,Other/Non Degreed,1,33.3%,3
Issaquah School District,Skyline High School,Gender,Female,1,33.3%,3
Issaquah School District,Skyline High School,Gender,Male,2,66.7%,3
Issaquah School District,Skyline High School,RaceEthnicity,Asian,1,33.3%,3
Issaquah School District,Skyline High School,RaceEthnicity,White,2,66.7%,3
Kalama School District,Kalama High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Kalama School District,Kalama High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Kalama School District,Kalama High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Kalama School District,Kalama High School,Degree,Master's Degree,1,100.0%,1
Kalama School District,Kalama High School,Gender,Male,1,100.0%,1
Kalama School District,Kalama High School,RaceEthnicity,White,1,100.0%,1
Kalama School District,Kalama Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Kalama School District,Kalama Middle School,Degree,Master's Degree,1,100.0%,1
Kalama School District,Kalama Middle School,Gender,Female,1,100.0%,1
Kalama School District,Kalama Middle School,RaceEthnicity,White,1,100.0%,1
Kelso School District,Kelso High School,Certificate,C280700 - CONDITIONAL CERTIFICATE                                     ,1,50.0%,2
Kelso School District,Kelso High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,100.0%,2
Kelso School District,Kelso High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Kelso School District,Kelso High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Kelso School District,Kelso High School,Degree,Master's Degree,2,100.0%,2
Kelso School District,Kelso High School,Gender,Female,1,50.0%,2
Kelso School District,Kelso High School,Gender,Male,1,50.0%,2
Kelso School District,Kelso High School,RaceEthnicity,White,2,100.0%,2
Kelso School District,Kelso Virtual Academy,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,100.0%,1
Kelso School District,Kelso Virtual Academy,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Kelso School District,Kelso Virtual Academy,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Kelso School District,Kelso Virtual Academy,Degree,Master's Degree,1,100.0%,1
Kelso School District,Kelso Virtual Academy,Gender,Male,1,100.0%,1
Kelso School District,Kelso Virtual Academy,RaceEthnicity,White,1,100.0%,1
Kennewick School District,Chinook Middle School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,100.0%,1
Kennewick School District,Chinook Middle School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Kennewick School District,Chinook Middle School,Degree,Master's Degree,1,100.0%,1
Kennewick School District,Chinook Middle School,Gender,Female,1,100.0%,1
Kennewick School District,Chinook Middle School,RaceEthnicity,White,1,100.0%,1
Kennewick School District,Kamiakin High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,25.0%,4
Kennewick School District,Kamiakin High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,3,75.0%,4
Kennewick School District,Kamiakin High School,Certificate,T230700 - CONTINUING TEACHER                                          ,2,50.0%,4
