ESDCode,ESDName,DistrictCode,DistrictName,AddressLine1,AddressLine2,City,State,Zipcode,AdministratorName,Phone,Email,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Congressional District",Congress,"State Legislative District House Name","State Legislative District House Number","State Legislative District House OCD id","State Legislative District House Proportion","State Legislative District Senate Name","State Legislative District Senate Number","State Legislative District Senate OCD id","State Legislative District Senate Proportion"
32801,"Educational Service District 101",32414,"Deer Park School District","P.O. BOX 490",,"DEER PARK",Washington,99006-0490,"Alexa  Allman",(509)464-5507,alexa.allman@dpsdmail.org,47.95434,-117.47689,0.5,place,490,"PO Box",,,"Deer Park",WA,"Spokane County",99006,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,0.8,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,0.8
17801,"Puget Sound Educational Service District 121",27343,"Dieringer School District","1320 178TH AVE E",,"Lake Tapps",Washington,98391-6411,"Paula  Dawson",(253)862-2537,pdawson@dieringer.wednet.edu,47.24581,-122.19216,1,rooftop,1320,"178th Ave E",,,"Lake Tapps",WA,"Pierce County",98391,US,Pierce,WA8,118th,"Legislative District 31",31,ocd-division/country:us/state:wa/sldl:31,1,"Legislative District 31",31,ocd-division/country:us/state:wa/sldu:31,1
11801,"Educational Service District 123",36101,"Dixie School District","PO BOX 40",,DIXIE,Washington,99329-0040,"Jacob D Bang",(509)525-5339,jbang@dixiesd.org,46.140821,-118.153064,0.5,place,40,"PO Box",,,Dixie,WA,"Walla Walla County",99329,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
32801,"Educational Service District 101",32361,"East Valley School District (Spokane)","3830 N Sullivan Rd","Bldg 1",SPOKANE,Washington,99216,"Brian  Talbott",(509)241-5032,talbottb@evsd.org,47.692138,-117.195387,1,rooftop,3830,"N Sullivan Rd",,,"Spokane Valley",WA,"Spokane County",99216,US,"Spokane (Spokane County CC BY-NC-SA 4.0)",WA5,118th,"Legislative District 4",4,ocd-division/country:us/state:wa/sldl:4,1,"Legislative District 4",4,ocd-division/country:us/state:wa/sldu:4,1
39801,"Educational Service District 105",39090,"East Valley School District (Yakima)","2002 BEAUDRY RD",,YAKIMA,Washington,98901-8012,"Russell  Hill",(509)573-7320,hill.russ@evsd90.org,46.573302,-120.404261,1,rooftop,2002,"Beaudry Rd",,,Yakima,WA,"Yakima County",98901,US,Yakima,WA4,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
04801,"North Central Educational Service District 171",09206,"Eastmont School District","800 Eastmont Ave",,"EAST WENATCHEE",Washington,98802-4443,"Becky   Berg",(509)884-7169,bergb@eastmont206.org,47.417179,-120.28235,1,rooftop,800,"Eastmont Ave",,,"East Wenatchee",WA,"Douglas County",98802,US,"Chelan (Public Domain)",WA4,118th,"Legislative District 12",12,ocd-division/country:us/state:wa/sldl:12,1,"Legislative District 12",12,ocd-division/country:us/state:wa/sldu:12,1
39801,"Educational Service District 105",19028,"Easton School District","PO BOX 8",,EASTON,Washington,98925-0008,"Aaron  Kombol",(509)656-2317,kombola@easton.wednet.edu,47.232953,-121.177187,0.5,place,8,"PO Box",,,Easton,WA,"Kittitas County",98925,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,,,,,,,,
17801,"Puget Sound Educational Service District 121",27404,"Eatonville School District","PO BOX 698",,EATONVILLE,Washington,98328-0698,"Lucy  Fountain",(360)879-1000,l.fountain@eatonville.wednet.edu,46.904844,-122.30141,0.5,place,698,"PO Box",,,Eatonville,WA,"Pierce County",98328,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,,,,,,,,
29801,"Northwest Educational Service District 189",31015,"Edmonds School District","20420 68TH AVE W",,LYNNWOOD,Washington,98036-7400,"Rebecca  Miner",(425)431-7001,minerr@edmonds.wednet.edu,47.813572,-122.325776,1,rooftop,20420,"68th Ave W",,,Lynnwood,WA,"Snohomish County",98036,US,"Snohomish County",WA2,118th,"Legislative District 32",32,ocd-division/country:us/state:wa/sldl:32,1,"Legislative District 32",32,ocd-division/country:us/state:wa/sldu:32,1
39801,"Educational Service District 105",19401,"Ellensburg School District","1300 E 3RD AVE",,ELLENSBURG,Washington,98926-3576,"  ",,,46.994584,-120.526705,0.99,rooftop,"1300  1300","E 3rd Ave",,,Ellensburg,WA,"Kittitas County",98926,US,"Statewide WA",WA8,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
34801,"Capital Region ESD 113",14068,"Elma School District","1235 MONTE ELMA RD",,ELMA,Washington,98541-9038,"Chris  Nesmith",(360)482-2822,cnesmith@eagles.edu,47.004335,-123.435895,1,rooftop,1235,"Monte Elma Rd",,,Elma,WA,"Grays Harbor County",98541,US,"Grays Harbor",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
32801,"Educational Service District 101",38308,"Endicott School District","308 SCHOOL DR",,ENDICOTT,Washington,99125,"Tricia  Jeffries",(509)657-3523,tjeffries@sjeschools.org,46.93303,-117.690124,1,rooftop,308,"School Rd",,,Endicott,WA,"Whitman County",99125,US,"Statewide WA",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
04801,"North Central Educational Service District 171",04127,"Entiat School District","2650 ENTIAT WAY",,ENTIAT,Washington,98822-9710,"Greg  Whitmore",(509)784-1800,gwhitmore@entiatschools.org,47.664507,-120.22598,1,rooftop,2650,"Entiat Way",,,Entiat,WA,"Chelan County",98822,US,"Chelan (Public Domain)",WA8,118th,"Legislative District 12",12,ocd-division/country:us/state:wa/sldl:12,1,"Legislative District 12",12,ocd-division/country:us/state:wa/sldu:12,1
17801,"Puget Sound Educational Service District 121",17216,"Enumclaw School District","2929 MCDOUGALL AVE",,ENUMCLAW,Washington,98022-7499,"Shaun  Carey",(360)802-7102,shaun_carey@enumclaw.wednet.edu,47.188548,-122.008775,1,rooftop,2929,"McDougall Ave",,,Enumclaw,WA,"King County",98022,US,King,WA8,118th,"Legislative District 31",31,ocd-division/country:us/state:wa/sldl:31,1,"Legislative District 31",31,ocd-division/country:us/state:wa/sldu:31,1
04801,"North Central Educational Service District 171",13165,"Ephrata School District","111 4TH AVE NW",,EPHRATA,Washington,98823,"Ken  Murray",(509)754-2474,kmurray@ephrataschools.org,47.324457,-119.547618,1,rooftop,111,"4th Ave NW",,,Ephrata,WA,"Grant County",98823,US,Grant,WA4,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
34801,"Capital Region ESD 113",21036,"Evaline School District","111 SCHOOLHOUSE RD",,WINLOCK,Washington,98596-9718,"Kyle  MacDonald",(360)785-3460,kmacdonald@evalinesd.k12.wa.us,46.539238,-122.939197,1,rooftop,111,"Schoolhouse Rd",,,Winlock,WA,"Lewis County",98596,US,Lewis,WA3,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
29801,"Northwest Educational Service District 189",31002,"Everett School District","PO BOX 2098",,Everett,Washington,98213-2999,"Ian  Saltzman",(425)385-4019,ISaltzman@everettsd.org,47.988661,-122.199795,0.5,place,2098,"PO Box",,,Everett,WA,"Snohomish County",98213,US,"TIGER/Line® dataset from the US Census Bureau",WA2,118th,"Legislative District 38",38,ocd-division/country:us/state:wa/sldl:38,1,"Legislative District 38",38,ocd-division/country:us/state:wa/sldu:38,1
06801,"Educational Service District 112",06114,"Evergreen School District (Clark)","PO BOX 8910",,VANCOUVER,Washington,98668-8910,"John Lawrence Boyd",(360)604-4000,john.boyd@evergreenps.org,45.678996,-122.720499,0.5,place,8910,"PO Box",,,Vancouver,WA,"Clark County",98668,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 49",49,ocd-division/country:us/state:wa/sldl:49,1,"Legislative District 49",49,ocd-division/country:us/state:wa/sldu:49,1
32801,"Educational Service District 101",33205,"Evergreen School District (Stevens)","3341 ADDY GIFFORD RD",,GIFFORD,Washington,99131-9701,"Bill  Glidewell",(509)722-6084,bglidewell@evergreeen.k12.wa.us,48.309384,-118.139044,1,rooftop,3341,"Addy Gifford Rd",,,Gifford,WA,"Stevens County",99131,US,Stevens,WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
17801,"Puget Sound Educational Service District 121",17210,"Federal Way School District","33330 8th AVE S",,"FEDERAL WAY",Washington,98003-5433,"Dani  Pfeiffer",(253)945-2000,dpfeiffe@fwps.org,47.304885,-122.324611,1,rooftop,33330,"8th Ave S",,,"Federal Way",WA,"King County",98003,US,King,WA9,118th,"Legislative District 30",30,ocd-division/country:us/state:wa/sldl:30,1,"Legislative District 30",30,ocd-division/country:us/state:wa/sldu:30,1
29801,"Northwest Educational Service District 189",37502,"Ferndale School District","PO Box 698",,FERNDALE,Washington,98248-9317,"Karin Kristi Dominguez",(360)383-9207,kristi.dominguez@ferndalesd.org,48.861113,-122.608561,0.5,place,698,"PO Box",,,Ferndale,WA,"Whatcom County",98248,US,"TIGER/Line® dataset from the US Census Bureau",WA2,118th,"Legislative District 42",42,ocd-division/country:us/state:wa/sldl:42,1,"Legislative District 42",42,ocd-division/country:us/state:wa/sldu:42,1
17801,"Puget Sound Educational Service District 121",27417,"Fife School District","1720 Oak St",,Milton,Washington,98354,"Kevin  Alfano",(253)517-1000,kalfano@fifeschools.com,47.24679,-122.310925,1,rooftop,1720,"Oak St",,,Milton,WA,"Pierce County",98354,US,Pierce,WA6,118th,"Legislative District 31",31,ocd-division/country:us/state:wa/sldl:31,1,"Legislative District 31",31,ocd-division/country:us/state:wa/sldu:31,1
11801,"Educational Service District 123",03053,"Finley School District","224606 E GAME FARM RD",,KENNEWICK,Washington,99337-8623,"Bryan  Long",(509)586-3217,blong@finleysd.org,46.154026,-119.029126,1,rooftop,224606,"E Game Farm Rd",,,Kennewick,WA,"Benton County",99337,US,Benton,WA4,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
17801,"Puget Sound Educational Service District 121",27402,"Franklin Pierce School District","315 129TH ST S",,TACOMA,Washington,98444-5099,"Lance  Goodpaster",(253)298-3010,lgoodpaster@fpschools.org,47.140714,-122.436831,1,rooftop,315,"129th St S",,,Tacoma,WA,"Pierce County",98444,US,Pierce,WA10,118th,"Legislative District 29",29,ocd-division/country:us/state:wa/sldl:29,1,"Legislative District 29",29,ocd-division/country:us/state:wa/sldu:29,1
32801,"Educational Service District 101",32358,"Freeman School District","15001 S JACKSON RD",,ROCKFORD,Washington,99030-9755,"Randy L. Russell",(509)291-3695,rrussell@freemansd.org,47.516957,-117.195054,1,rooftop,15001,"S Jackson Rd",,,Rockford,WA,"Spokane County",99030,US,"Spokane (Spokane County CC BY-NC-SA 4.0)",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
32801,"Educational Service District 101",38302,"Garfield School District","PO BOX 398",,GARFIELD,Washington,99130-0398,"Zane   Wells",(509)635-1331,zwells@garpal.wednet.edu,47.00795,-117.14101,0.5,place,398,"PO Box",,,Garfield,WA,"Whitman County",99130,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
06801,"Educational Service District 112",20401,"Glenwood School District","PO BOX 12",,GLENWOOD,Washington,98619-0012,"Elyse  Mengarelli",(509)364-3438,elyse.mengarelli@glenwoodsd.org,45.989951,-121.282054,0.5,place,12,"PO Box",,,Glenwood,WA,"Klickitat County",98619,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,1,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,1
39801,"Educational Service District 105",20404,"Goldendale School District","604 E. BROOKS ST",,GOLDENDALE,Washington,98620,"Ellen  Perconti",(509)773-5177,ellen.perconti@gsd404.org,45.817628,-120.81376,1,range_interpolation,604,"E Brooks St",,,Goldendale,WA,"Klickitat County",98620,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,1,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,1
04801,"North Central Educational Service District 171",13301,"Grand Coulee Dam School District","110 Stevens Ave.",,"COULEE DAM",Washington,99116-1503,"Rodriguez  Broadnax",(509)633-2143,rbroadnax@gcdsd.org,47.962307,-118.986455,1,rooftop,110,"Stevens Ave",,,"Coulee Dam",WA,"Douglas County",99116,US,"Chelan (Public Domain)",WA4,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
39801,"Educational Service District 105",39200,"Grandview School District","913 W 2ND ST",,GRANDVIEW,Washington,98930-1202,"Rob T Darling",(509)882-8500,rtdarling@gsd200.org,46.255286,-119.9151,1,rooftop,913,"W 2nd St",,,Grandview,WA,"Yakima County",98930,US,Yakima,WA4,118th,"Legislative District 15",15,ocd-division/country:us/state:wa/sldl:15,1,"Legislative District 15",15,ocd-division/country:us/state:wa/sldu:15,1
39801,"Educational Service District 105",39204,"Granger School District","701 E AVE",,GRANGER,Washington,98932-0400,"Brian  Hart",(509)854-1515,hartb@gsd.wednet.edu,46.347688,-120.189106,1,rooftop,701,"E Ave",,,Granger,WA,"Yakima County",98932,US,Yakima,WA4,118th,"Legislative District 15",15,ocd-division/country:us/state:wa/sldl:15,1,"Legislative District 15",15,ocd-division/country:us/state:wa/sldu:15,1
29801,"Northwest Educational Service District 189",31332,"Granite Falls School District","205 N Alder Avenue",,"Granite Falls",Washington,98252-8908,"  ",,,48.084714,-121.963502,1,rooftop,205,"N Alder Ave",,,"Granite Falls",WA,"Snohomish County",98252,US,"Snohomish County",WA8,118th,"Legislative District 39",39,ocd-division/country:us/state:wa/sldl:39,1,"Legislative District 39",39,ocd-division/country:us/state:wa/sldu:39,1
34801,"Capital Region ESD 113",23054,"Grapeview School District","822 E MASON BENSON RD",,GRAPEVIEW,Washington,98546-9514,"Gerald  Grubbs",(360)426-4921,ggrubbs@gsd54.org,47.320078,-122.916751,1,rooftop,822,"E Mason Benson Rd",,,Grapeview,WA,"Mason County",98546,US,Mason,WA6,118th,"Legislative District 35",35,ocd-division/country:us/state:wa/sldl:35,1,"Legislative District 35",35,ocd-division/country:us/state:wa/sldu:35,1
32801,"Educational Service District 101",32312,"Great Northern School District","3115 N SPOTTED RD",,SPOKANE,Washington,99224-8921,"Kelly  Shea",(509)747-7714,kshea@gnsd.k12.wa.us,47.686652,-117.518507,1,rooftop,3115,"N Spotted Rd",,,Spokane,WA,"Spokane County",99224,US,"Spokane (Spokane County CC BY-NC-SA 4.0)",WA5,118th,"Legislative District 6",6,ocd-division/country:us/state:wa/sldl:6,1,"Legislative District 6",6,ocd-division/country:us/state:wa/sldu:6,1
06801,"Educational Service District 112",06103,"Green Mountain School District","13105 NE GRINNELL RD",,WOODLAND,Washington,98674-3808,"David R Holmes",(360)225-7366,dave.holmes@greenmountainschool.us,45.947869,-122.53844,1,rooftop,13105,"NE Grinnell Rd",,,Woodland,WA,"Clark County",98674,US,Clark,WA3,118th,"Legislative District 20",20,ocd-division/country:us/state:wa/sldl:20,1,"Legislative District 20",20,ocd-division/country:us/state:wa/sldu:20,1
34801,"Capital Region ESD 113",34324,"Griffin School District","6530 33RD AVE NW",,OLYMPIA,Washington,98502-9599,"  ",,,47.080613,-123.019011,1,rooftop,6530,"33rd Ave NW",,,Olympia,WA,"Thurston County",98502,US,Thurston,WA10,118th,"Legislative District 35",35,ocd-division/country:us/state:wa/sldl:35,1,"Legislative District 35",35,ocd-division/country:us/state:wa/sldu:35,1
32801,"Educational Service District 101",22204,"Harrington School District","PO Box 204",,HARRINGTON,Washington,99134-0248,"Howard O. King",(509)253-4331,hking@harringtonsd.org,47.478233,-118.254439,0.5,place,204,"PO Box",,,Harrington,WA,"Lincoln County",99134,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
39801,"Educational Service District 105",39203,"Highland School District","PO BOX 38",,COWICHE,Washington,98923-0038,"Mark  Anderson",(509)678-8635,manderson@highland.wednet.edu,46.66985,-120.71229,0.5,place,38,"PO Box",,,Cowiche,WA,"Yakima County",98923,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,0.689,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,0.689
17801,"Puget Sound Educational Service District 121",17401,"Highline School District","15675 AMBAUM BLVD SW",,BURIEN,Washington,98166-0100,"Ivan  Duran",(206)631-3000,ivan.duran@highlineschools.org,47.462255,-122.338006,1,rooftop,15675,"Ambaum Blvd SW",,,Burien,WA,"King County",98166,US,"City of Seattle",WA7,118th,"Legislative District 33",33,ocd-division/country:us/state:wa/sldl:33,1,"Legislative District 33",33,ocd-division/country:us/state:wa/sldu:33,1
06801,"Educational Service District 112",06098,"Hockinson School District","17912 NE 159TH ST",,"BRUSH PRAIRIE",Washington,98606-9765,"Steven  Marshall",(360)448-6400,steve.marshall@hocksd.org,45.737852,-122.488721,1,rooftop,17912,"NE 159th St",,,"Brush Prairie",WA,"Clark County",98606,US,Clark,WA3,118th,"Legislative District 17",17,ocd-division/country:us/state:wa/sldl:17,1,"Legislative District 17",17,ocd-division/country:us/state:wa/sldu:17,1
34801,"Capital Region ESD 113",23404,"Hood Canal School District","111 N STATE ROUTE 106",,SHELTON,Washington,98584-9703,"Lance  Gibbon",(360)877-5463,lgibbon@hoodcanalschool.org,47.333552,-123.15948,1,rooftop,111,"N State Route 106",,,"Skokomish Nation",WA,"Mason County",98584,US,Mason,WA6,118th,"Legislative District 35",35,ocd-division/country:us/state:wa/sldl:35,1,"Legislative District 35",35,ocd-division/country:us/state:wa/sldu:35,1
34801,"Capital Region ESD 113",14028,"Hoquiam School District","325 W. Chenault Avenue",,HOQUIAM,Washington,98550-2419,"Mike  Villarreal",(360)538-8200,mvillarreal@hoquiam.net,46.984265,-123.906833,1,rooftop,325,"W Chenault Ave",,,Hoquiam,WA,"Grays Harbor County",98550,US,"Grays Harbor",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
34950,"Washington State Charter School Commission",17919,"Impact | Black River Elementary","16950 116th Ave SE",,Renton,Washington,98058,"Amy  Kiyota",(206)712-7640,akiyota@impactps.org,47.450537,-122.184686,1,rooftop,16950,"116th Ave SE",,,Renton,WA,"King County",98058,US,King,WA9,118th,"Legislative District 11",11,ocd-division/country:us/state:wa/sldl:11,1,"Legislative District 11",11,ocd-division/country:us/state:wa/sldu:11,1
34950,"Washington State Charter School Commission",27902,"Impact | Commencement Bay Elementary","1301 E 34th St",,Tacoma,Washington,98404,"Amy  Kiyota",(206)712-7640,akiyota@impactps.org,47.232833,-122.41324,1,rooftop,1301,"E 34th St",,,Tacoma,WA,"Pierce County",98404,US,"City of Tacoma",WA10,118th,"Legislative District 29",29,ocd-division/country:us/state:wa/sldl:29,1,"Legislative District 29",29,ocd-division/country:us/state:wa/sldu:29,1
34950,"Washington State Charter School Commission",17911,"Impact | Puget Sound Elementary","3438 S 148th St",,Tukwila,Washington,98168,"Amy  Kiyota",(206)712-7640,akiyota@impactps.org,47.471003,-122.288229,1,rooftop,3438,"S 148th St",,,Tukwila,WA,"King County",98168,US,"City of Seattle",WA9,118th,"Legislative District 11",11,ocd-division/country:us/state:wa/sldl:11,1,"Legislative District 11",11,ocd-division/country:us/state:wa/sldu:11,1
34950,"Washington State Charter School Commission",17916,"Impact | Salish Sea Elementary","3900 Holly Park Drive South",,Seattle,Washington,98118,"Amy  Kiyota",(206)712-7640,akiyota@impactps.org,47.536355,-122.283095,1,rooftop,3900,"S Holly Park Dr",,,Seattle,WA,"King County",98118,US,"City of Seattle",WA9,118th,"Legislative District 37",37,ocd-division/country:us/state:wa/sldl:37,1,"Legislative District 37",37,ocd-division/country:us/state:wa/sldu:37,1
32801,"Educational Service District 101",10070,"Inchelium School District","PO BOX 285",,INCHELIUM,Washington,99138-0285,"Brian   Freeman",(509)722-6181,bfreeman@inchelium.net,48.268566,-118.305461,0.5,place,285,"PO Box",,,Inchelium,WA,"Ferry County",99138,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
29801,"Northwest Educational Service District 189",31063,"Index School District","PO BOX 237",,INDEX,Washington,98256-0237,"Gerald E Grubbs",(360)793-1330,ggrubbs@index.k12.wa.us,47.81179,-121.549712,0.5,place,237,"PO Box",,,Index,WA,"Snohomish County",98256,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,"Legislative District 12",12,ocd-division/country:us/state:wa/sldl:12,1,"Legislative District 12",12,ocd-division/country:us/state:wa/sldu:12,1
17801,"Puget Sound Educational Service District 121",17411,"Issaquah School District","5150 220th Ave SE",,ISSAQUAH,Washington,98029,"Heather  Tow-Yick",(425)837-7002,TowYickH@issaquah.wednet.edu,47.554633,-122.047309,1,rooftop,5150,"220th Ave SE",,,Issaquah,WA,"King County",98029,US,King,WA8,118th,"Legislative District 41",41,ocd-division/country:us/state:wa/sldl:41,1,"Legislative District 41",41,ocd-division/country:us/state:wa/sldu:41,1
11801,"Educational Service District 123",11056,"Kahlotus School District","PO BOX 69",,KAHLOTUS,Washington,99335-0069,"Andie  Webb","(509)282-3338 Ext.101",andie.webb@kahlotussd.org,46.677852,-118.53374,0.5,place,69,"PO Box",,,Kahlotus,WA,"Franklin County",99335,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
06801,"Educational Service District 112",08402,"Kalama School District","548 CHINA GARDEN RD",,KALAMA,Washington,98625-9764,"Jennifer  McCallum",(360)673-5282,jennifer.mccallum@kalama.k12.wa.us,46.008487,-122.839357,1,rooftop,548,"China Garden Rd",,,Kalama,WA,"Cowlitz County",98625,US,Cowlitz,WA3,118th,"Legislative District 20",20,ocd-division/country:us/state:wa/sldl:20,1,"Legislative District 20",20,ocd-division/country:us/state:wa/sldu:20,1
32801,"Educational Service District 101",10003,"Keller School District","PO BOX 367",,KELLER,Washington,99140-0367,"Steve  Jantz",(509)634-4325,sjantz@keller.k12.wa.us,48.07877,-118.68501,0.5,place,367,"PO Box",,,Keller,WA,"Ferry County",99140,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,,,,,,,,
06801,"Educational Service District 112",08458,"Kelso School District","601 CRAWFORD ST",,KELSO,Washington,98626-4398,"Mary Beth  Tack",(360)501-1927,marybeth.tack@kelsosd.org,46.147388,-122.905869,1,rooftop,601,"Crawford St",,,Kelso,WA,"Cowlitz County",98626,US,Cowlitz,WA3,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
11801,"Educational Service District 123",03017,"Kennewick School District","1000 W. 4th Avenue",,KENNEWICK,Washington,99336-5601,"Traci  Pierce",(509)222-5020,traci.pierce@ksd.org,46.205862,-119.133493,1,rooftop,1000,"W 4th Ave",,,Kennewick,WA,"Benton County",99336,US,"City of Kennewick",WA4,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
17801,"Puget Sound Educational Service District 121",17415,"Kent School District","12033 SE 256TH ST",,KENT,Washington,98031-6643,"Israel  Vela",(253)373-7701,Israel.Vela@kent.k12.wa.us,47.371269,-122.181011,1,rooftop,12033,"SE 256th St",,,Kent,WA,"King County",98030,US,King,WA9,118th,"Legislative District 47",47,ocd-division/country:us/state:wa/sldl:47,1,"Legislative District 47",47,ocd-division/country:us/state:wa/sldu:47,1
32801,"Educational Service District 101",33212,"Kettle Falls School District","PO BOX 458",,"KETTLE FALLS",Washington,99141-0458,"Michael  Olsen","(509)738-6625 Ext.599",molsen@kfschools.org,48.61074,-118.05582,0.5,place,458,"PO Box",,,"Kettle Falls",WA,"Stevens County",99141,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
11801,"Educational Service District 123",03052,"Kiona-Benton City School District","1105 DALE AVE",,"BENTON CITY",Washington,99320-9704,"Pete  Peterson",(509)588-2000,pete.peterson@kibesd.org,46.263449,-119.490905,1,rooftop,1105,"Dale Ave",,,"Benton City",WA,"Benton County",99320,US,"Statewide WA",WA4,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
39801,"Educational Service District 105",19403,"Kittitas School District","PO BOX 599",,KITTITAS,Washington,98934-0599,"TIM  LAGRANGE",(509)955-3120,tim_lagrange@ksd403.org,46.980645,-120.416259,0.5,place,599,"PO Box",,,Kittitas,WA,"Kittitas County",98934,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
06801,"Educational Service District 112",20402,"Klickitat School District","PO BOX 37",,KLICKITAT,Washington,98628-0037,"Kendrick  Lester",(509)369-4145,kendrick.lester@klickitatsd.org,45.82111,-121.15684,0.5,place,37,"PO Box",,,Klickitat,WA,"Klickitat County",98628,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,1,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,1
06801,"Educational Service District 112",06101,"La Center School District","PO BOX 1840",,"LA CENTER",Washington,98629-5507,"PETER  ROSENKRANZ",(360)263-2131,peter.rosenkranz@lacenterschools.org,45.881459,-122.615416,0.5,place,1840,"PO Box",,,"La Center",WA,"Clark County",98629,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 20",20,ocd-division/country:us/state:wa/sldl:20,1,"Legislative District 20",20,ocd-division/country:us/state:wa/sldu:20,1
29801,"Northwest Educational Service District 189",29311,"La Conner School District","PO BOX 2103",,"LA CONNER",Washington,98257-2103,"Will  Nelson",(360)466-3171,wnelson@lc.k12.wa.us,48.414123,-122.508364,0.5,place,2103,"PO Box",,,"La Conner",WA,"Skagit County",98257,US,"TIGER/Line® dataset from the US Census Bureau",WA2,118th,"Legislative District 10",10,ocd-division/country:us/state:wa/sldl:10,1,"Legislative District 10",10,ocd-division/country:us/state:wa/sldu:10,1
